chapter,book,wave,status,start_time,end_time,duration_s,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,total_tokens,cost_usd,last_heartbeat,terminal_id,retry_at
adwd-reek-02,adwd,8,failed-stale,,,,,,,,,,2026-05-05T19:17:19Z,Matthews-Mac-Studio.local-90457,
adwd-the-queens-hand-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:17:20Z,Matthews-Mac-Studio.local-90475,
adwd-reek-02,adwd,8,failed-stale,,,,,,,,,,2026-05-05T19:17:49Z,Matthews-Mac-Studio.local-90457,
adwd-the-queens-hand-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:17:50Z,Matthews-Mac-Studio.local-90475,
adwd-reek-02,adwd,8,failed-stale,,,,,,,,,,2026-05-05T19:18:19Z,Matthews-Mac-Studio.local-90457,
adwd-the-queens-hand-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:18:20Z,Matthews-Mac-Studio.local-90475,
adwd-reek-02,adwd,8,failed-stale,,,,,,,,,,2026-05-05T19:18:49Z,Matthews-Mac-Studio.local-90457,
adwd-the-queens-hand-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:18:50Z,Matthews-Mac-Studio.local-90475,
adwd-reek-02,adwd,8,failed-stale,,,,,,,,,,2026-05-05T19:19:19Z,Matthews-Mac-Studio.local-90457,
adwd-the-queens-hand-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:19:20Z,Matthews-Mac-Studio.local-90475,
adwd-reek-02,adwd,8,failed-stale,,,,,,,,,,2026-05-05T19:19:49Z,Matthews-Mac-Studio.local-90457,
adwd-the-queens-hand-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:19:50Z,Matthews-Mac-Studio.local-90475,
adwd-reek-02,adwd,8,failed-stale,,,,,,,,,,2026-05-05T19:20:19Z,Matthews-Mac-Studio.local-90457,
adwd-the-queens-hand-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:20:20Z,Matthews-Mac-Studio.local-90475,
adwd-reek-02,adwd,8,failed-stale,,,,,,,,,,2026-05-05T19:20:49Z,Matthews-Mac-Studio.local-90457,
adwd-the-queens-hand-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:20:50Z,Matthews-Mac-Studio.local-90475,
adwd-reek-02,adwd,8,failed-stale,,,,,,,,,,2026-05-05T19:21:19Z,Matthews-Mac-Studio.local-90457,
adwd-the-queens-hand-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:21:20Z,Matthews-Mac-Studio.local-90475,
adwd-the-queens-hand-01,adwd,11,done,2026-05-05 14:14:49,2026-05-05 14:21:36,407,5,66615,73603,17442,157665,0.8898042500000001,,Matthews-Mac-Studio.local-90475,
adwd-the-queensguard-01,adwd,11,failed-stale,2026-05-05T19:21:36Z,,,,,,,,,2026-05-05T19:21:36Z,Matthews-Mac-Studio.local-90475,
adwd-reek-02,adwd,8,failed-stale,,,,,,,,,,2026-05-05T19:21:49Z,Matthews-Mac-Studio.local-90457,
adwd-the-queensguard-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:22:06Z,Matthews-Mac-Studio.local-90475,
adwd-reek-02,adwd,8,failed-stale,,,,,,,,,,2026-05-05T19:22:19Z,Matthews-Mac-Studio.local-90457,
adwd-reek-02,adwd,8,done,2026-05-05 14:14:49,2026-05-05 14:22:22,453,5,66680,72854,18408,157947,0.9139799999999999,,Matthews-Mac-Studio.local-90457,
adwd-the-queensguard-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:22:36Z,Matthews-Mac-Studio.local-90475,
adwd-the-queensguard-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:23:06Z,Matthews-Mac-Studio.local-90475,
adwd-the-queensguard-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:23:36Z,Matthews-Mac-Studio.local-90475,
adwd-the-queensguard-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:24:06Z,Matthews-Mac-Studio.local-90475,
adwd-the-queensguard-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:24:36Z,Matthews-Mac-Studio.local-90475,
adwd-the-queensguard-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:25:06Z,Matthews-Mac-Studio.local-90475,
adwd-the-queensguard-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:25:36Z,Matthews-Mac-Studio.local-90475,
adwd-the-queensguard-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:26:06Z,Matthews-Mac-Studio.local-90475,
