chapter,book,wave,status,start_time,end_time,duration_s,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,total_tokens,cost_usd,last_heartbeat,terminal_id,retry_at
acok-jon-04,acok,8,failed-stale,,,,,,,,,,2026-05-05T02:15:21Z,Mac.attlocal.net-12079,
acok-prologue,acok,9,failed-stale,,,,,,,,,,2026-05-05T02:15:21Z,Mac.attlocal.net-12404,
acok-catelyn-04,acok,5,failed-stale,2026-05-05T02:33:01Z,,,,,,,,,2026-05-05T02:33:01Z,Mac.attlocal.net-15549,
acok-daenerys-02,acok,6,failed-stale,2026-05-05T02:33:01Z,,,,,,,,,2026-05-05T02:33:01Z,Mac.attlocal.net-15804,
acok-catelyn-04,acok,5,failed-error,2026-05-04 21:33:01,2026-05-04 21:33:02,1,0,0,0,0,0,0,,Mac.attlocal.net-15549,
acok-catelyn-05,acok,5,failed-stale,2026-05-05T02:33:02Z,,,,,,,,,2026-05-05T02:33:02Z,Mac.attlocal.net-15549,
acok-daenerys-02,acok,6,failed-error,2026-05-04 21:33:01,2026-05-04 21:33:02,1,0,0,0,0,0,0,,Mac.attlocal.net-15804,
acok-daenerys-03,acok,6,failed-stale,2026-05-05T02:33:02Z,,,,,,,,,2026-05-05T02:33:02Z,Mac.attlocal.net-15804,
acok-catelyn-05,acok,5,failed-error,2026-05-04 21:33:02,2026-05-04 21:33:03,1,0,0,0,0,0,0,,Mac.attlocal.net-15549,
acok-catelyn-06,acok,5,failed-stale,2026-05-05T02:33:03Z,,,,,,,,,2026-05-05T02:33:03Z,Mac.attlocal.net-15549,
acok-daenerys-03,acok,6,failed-error,2026-05-04 21:33:02,2026-05-04 21:33:03,1,0,0,0,0,0,0,,Mac.attlocal.net-15804,
acok-daenerys-04,acok,6,failed-stale,2026-05-05T02:33:03Z,,,,,,,,,2026-05-05T02:33:03Z,Mac.attlocal.net-15804,
acok-catelyn-06,acok,5,failed-error,2026-05-04 21:33:03,2026-05-04 21:33:04,1,0,0,0,0,0,0,,Mac.attlocal.net-15549,
acok-catelyn-07,acok,5,failed-stale,2026-05-05T02:33:04Z,,,,,,,,,2026-05-05T02:33:04Z,Mac.attlocal.net-15549,
acok-daenerys-04,acok,6,failed-error,2026-05-04 21:33:03,2026-05-04 21:33:04,1,0,0,0,0,0,0,,Mac.attlocal.net-15804,
acok-daenerys-05,acok,6,failed-stale,2026-05-05T02:33:04Z,,,,,,,,,2026-05-05T02:33:04Z,Mac.attlocal.net-15804,
acok-daenerys-05,acok,6,failed-error,2026-05-04 21:33:04,2026-05-04 21:33:05,1,0,0,0,0,0,0,,Mac.attlocal.net-15804,
acok-davos-01,acok,6,failed-stale,2026-05-05T02:33:05Z,,,,,,,,,2026-05-05T02:33:05Z,Mac.attlocal.net-15804,
acok-catelyn-07,acok,5,failed-error,2026-05-04 21:33:04,2026-05-04 21:33:06,2,0,0,0,0,0,0,,Mac.attlocal.net-15549,
acok-daenerys-01,acok,5,failed-stale,2026-05-05T02:33:06Z,,,,,,,,,2026-05-05T02:33:06Z,Mac.attlocal.net-15549,
acok-davos-01,acok,6,failed-error,2026-05-04 21:33:05,2026-05-04 21:33:06,1,0,0,0,0,0,0,,Mac.attlocal.net-15804,
acok-daenerys-01,acok,5,failed-error,2026-05-04 21:33:06,2026-05-04 21:33:07,1,0,0,0,0,0,0,,Mac.attlocal.net-15549,
acok-catelyn-04,acok,5,failed-stale,2026-05-05T03:14:04Z,,,,,,,,,2026-05-05T03:14:04Z,Mac.attlocal.net-27104,
acok-jon-04,acok,8,failed-stale,2026-05-05T03:14:04Z,,,,,,,,,2026-05-05T03:14:04Z,Mac.attlocal.net-27112,
acok-catelyn-04,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:14:34Z,Mac.attlocal.net-27104,
acok-jon-04,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:14:35Z,Mac.attlocal.net-27112,
acok-catelyn-04,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:15:04Z,Mac.attlocal.net-27104,
acok-jon-04,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:15:05Z,Mac.attlocal.net-27112,
acok-catelyn-04,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:15:34Z,Mac.attlocal.net-27104,
acok-jon-04,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:15:35Z,Mac.attlocal.net-27112,
acok-catelyn-04,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:16:04Z,Mac.attlocal.net-27104,
acok-jon-04,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:16:05Z,Mac.attlocal.net-27112,
acok-catelyn-04,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:16:34Z,Mac.attlocal.net-27104,
acok-jon-04,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:16:35Z,Mac.attlocal.net-27112,
acok-catelyn-04,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:17:04Z,Mac.attlocal.net-27104,
acok-jon-04,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:17:05Z,Mac.attlocal.net-27112,
acok-jon-04,acok,8,done,2026-05-04 22:14:05,2026-05-04 22:17:06,181,6,52172,107791,7577,167546,0.5699915,,Mac.attlocal.net-27112,
acok-jon-05,acok,8,failed-stale,2026-05-05T03:17:06Z,,,,,,,,,2026-05-05T03:17:06Z,Mac.attlocal.net-27112,
acok-catelyn-04,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:17:34Z,Mac.attlocal.net-27104,
acok-jon-05,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:17:37Z,Mac.attlocal.net-27112,
acok-catelyn-04,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:18:04Z,Mac.attlocal.net-27104,
acok-jon-05,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:18:07Z,Mac.attlocal.net-27112,
acok-catelyn-04,acok,5,done,2026-05-04 22:14:04,2026-05-04 22:18:25,261,6,55612,107955,10941,174514,0.6756905,,Mac.attlocal.net-27104,
acok-catelyn-05,acok,5,failed-stale,2026-05-05T03:18:26Z,,,,,,,,,2026-05-05T03:18:26Z,Mac.attlocal.net-27104,
acok-jon-05,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:18:37Z,Mac.attlocal.net-27112,
acok-catelyn-05,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:18:56Z,Mac.attlocal.net-27104,
acok-jon-05,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:19:07Z,Mac.attlocal.net-27112,
acok-catelyn-05,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:19:26Z,Mac.attlocal.net-27104,
acok-jon-05,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:19:37Z,Mac.attlocal.net-27112,
acok-catelyn-05,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:19:56Z,Mac.attlocal.net-27104,
acok-jon-05,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:20:07Z,Mac.attlocal.net-27112,
acok-catelyn-05,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:20:26Z,Mac.attlocal.net-27104,
acok-jon-05,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:20:37Z,Mac.attlocal.net-27112,
acok-catelyn-05,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:20:56Z,Mac.attlocal.net-27104,
acok-jon-05,acok,8,done,2026-05-04 22:17:07,2026-05-04 22:21:06,239,5,40186,81952,10279,132422,0.5497245,,Mac.attlocal.net-27112,
acok-jon-06,acok,8,failed-stale,2026-05-05T03:21:06Z,,,,,,,,,2026-05-05T03:21:06Z,Mac.attlocal.net-27112,
acok-catelyn-05,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:21:26Z,Mac.attlocal.net-27104,
acok-jon-06,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:21:36Z,Mac.attlocal.net-27112,
acok-catelyn-05,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:21:56Z,Mac.attlocal.net-27104,
acok-jon-06,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:22:06Z,Mac.attlocal.net-27112,
acok-catelyn-05,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:22:26Z,Mac.attlocal.net-27104,
acok-jon-06,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:22:36Z,Mac.attlocal.net-27112,
acok-catelyn-05,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:22:56Z,Mac.attlocal.net-27104,
acok-catelyn-05,acok,5,done,2026-05-04 22:18:26,2026-05-04 22:23:00,274,6,45959,125160,11690,182815,0.64268175,,Mac.attlocal.net-27104,
acok-catelyn-06,acok,5,failed-stale,2026-05-05T03:23:00Z,,,,,,,,,2026-05-05T03:23:00Z,Mac.attlocal.net-27104,
acok-jon-06,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:23:06Z,Mac.attlocal.net-27112,
acok-catelyn-06,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:23:30Z,Mac.attlocal.net-27104,
acok-jon-06,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:23:36Z,Mac.attlocal.net-27112,
acok-catelyn-06,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:24:00Z,Mac.attlocal.net-27104,
acok-jon-06,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:24:06Z,Mac.attlocal.net-27112,
acok-catelyn-06,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:24:30Z,Mac.attlocal.net-27104,
acok-jon-06,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:24:36Z,Mac.attlocal.net-27112,
acok-catelyn-06,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:25:00Z,Mac.attlocal.net-27104,
acok-jon-06,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:25:06Z,Mac.attlocal.net-27112,
acok-jon-06,acok,8,done,2026-05-04 22:21:06,2026-05-04 22:25:21,255,5,42575,84466,10146,137192,0.5625727500000001,,Mac.attlocal.net-27112,
acok-jon-07,acok,8,failed-stale,2026-05-05T03:25:21Z,,,,,,,,,2026-05-05T03:25:21Z,Mac.attlocal.net-27112,
acok-catelyn-06,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:25:30Z,Mac.attlocal.net-27104,
